text,label
Government launches new education policy,1
Aliens landed in India yesterday,0
New railway line approved,1
Alien city found on Mars,0
Government announces new railway project,1
Education ministry releases policy update,1
Scientists confirm water on Mars after new observations,1
Scientists discover a city built by aliens on Mars,0
Social media post claims moon is made of cheese,0
Local authorities approve a new public hospital,1
NASA announces a routine space research mission,1
Secret aliens control every government on Earth,0
Researchers publish a peer reviewed climate study,1
Celebrity says drinking bleach cures all diseases,0
Election commission publishes official voting schedule,1
Internet rumor claims humans can live without sleep,0
University releases annual research report,1
Fake message claims bank accounts will be doubled tomorrow,0
Health department announces vaccination information campaign,1
Anonymous post claims gravity has stopped working,0
